factor,shapley,lo90,hi90,single_swap_p
AIR,-0.07733333333333334,-0.08958958333333335,-0.06741041666666667,0.035
HOLD,-0.07191666666666664,-0.08769166666666665,-0.056789583333333345,0.03
RESPONSE,-0.04545833333333333,-0.05455208333333333,-0.03745624999999998,0.12
MASS,-0.032125,-0.03934583333333333,-0.025577083333333344,0.145
DENIAL,-0.010666666666666665,-0.013874999999999995,-0.007125000000000002,0.2125
RISK,0.0,0.0,0.0,0.2425
