risk.tolerance,denial.t_fires,p,n
0.0,1.0,0.0,300
0.0,2.0,0.0,300
0.0,3.0,0.0,300
0.0,4.0,0.0,300
0.0,5.0,0.0,300
0.0,6.0,0.0,300
0.0,7.0,0.0,300
0.0,8.0,0.0,300
0.0,9.0,0.0,300
0.0,10.0,0.0,300
0.0,11.0,0.0,300
0.0,12.0,0.0,300
0.05,1.0,0.0,300
0.05,2.0,0.0,300
0.05,3.0,0.0,300
0.05,4.0,0.006666666666666667,300
0.05,5.0,0.11,300
0.05,6.0,0.3433333333333333,300
0.05,7.0,0.4533333333333333,300
0.05,8.0,0.46,300
0.05,9.0,0.46,300
0.05,10.0,0.46,300
0.05,11.0,0.46,300
0.05,12.0,0.46,300
0.1,1.0,0.0,300
0.1,2.0,0.0,300
0.1,3.0,0.0,300
0.1,4.0,0.05,300
0.1,5.0,0.37666666666666665,300
0.1,6.0,0.84,300
0.1,7.0,0.9266666666666666,300
0.1,8.0,0.9266666666666666,300
0.1,9.0,0.9266666666666666,300
0.1,10.0,0.9266666666666666,300
0.1,11.0,0.9266666666666666,300
0.1,12.0,0.9266666666666666,300
0.15000000000000002,1.0,0.0,300
0.15000000000000002,2.0,0.0,300
0.15000000000000002,3.0,0.0,300
0.15000000000000002,4.0,0.05,300
0.15000000000000002,5.0,0.37666666666666665,300
0.15000000000000002,6.0,0.8433333333333334,300
0.15000000000000002,7.0,0.9266666666666666,300
0.15000000000000002,8.0,0.9266666666666666,300
0.15000000000000002,9.0,0.9266666666666666,300
0.15000000000000002,10.0,0.9266666666666666,300
0.15000000000000002,11.0,0.9266666666666666,300
0.15000000000000002,12.0,0.9266666666666666,300
0.2,1.0,0.03666666666666667,300
0.2,2.0,0.05,300
0.2,3.0,0.056666666666666664,300
0.2,4.0,0.13333333333333333,300
0.2,5.0,0.45,300
0.2,6.0,0.8633333333333333,300
0.2,7.0,0.9266666666666666,300
0.2,8.0,0.9266666666666666,300
0.2,9.0,0.9266666666666666,300
0.2,10.0,0.9266666666666666,300
0.2,11.0,0.9266666666666666,300
0.2,12.0,0.9266666666666666,300
0.25,1.0,0.2833333333333333,300
0.25,2.0,0.38,300
0.25,3.0,0.44,300
0.25,4.0,0.5366666666666666,300
0.25,5.0,0.7133333333333334,300
0.25,6.0,0.8933333333333333,300
0.25,7.0,0.9266666666666666,300
0.25,8.0,0.9266666666666666,300
0.25,9.0,0.9266666666666666,300
0.25,10.0,0.9266666666666666,300
0.25,11.0,0.9266666666666666,300
0.25,12.0,0.9266666666666666,300
0.30000000000000004,1.0,0.42,300
0.30000000000000004,2.0,0.6133333333333333,300
0.30000000000000004,3.0,0.7233333333333334,300
0.30000000000000004,4.0,0.8233333333333334,300
0.30000000000000004,5.0,0.8866666666666667,300
0.30000000000000004,6.0,0.9166666666666666,300
0.30000000000000004,7.0,0.9266666666666666,300
0.30000000000000004,8.0,0.9266666666666666,300
0.30000000000000004,9.0,0.9266666666666666,300
0.30000000000000004,10.0,0.9266666666666666,300
0.30000000000000004,11.0,0.9266666666666666,300
0.30000000000000004,12.0,0.9266666666666666,300
0.35000000000000003,1.0,0.43333333333333335,300
0.35000000000000003,2.0,0.6366666666666667,300
0.35000000000000003,3.0,0.7466666666666667,300
0.35000000000000003,4.0,0.8433333333333334,300
0.35000000000000003,5.0,0.91,300
0.35000000000000003,6.0,0.9233333333333333,300
0.35000000000000003,7.0,0.9266666666666666,300
0.35000000000000003,8.0,0.9266666666666666,300
0.35000000000000003,9.0,0.9266666666666666,300
0.35000000000000003,10.0,0.9266666666666666,300
0.35000000000000003,11.0,0.9266666666666666,300
0.35000000000000003,12.0,0.9266666666666666,300
0.4,1.0,0.43333333333333335,300
0.4,2.0,0.6366666666666667,300
0.4,3.0,0.7466666666666667,300
0.4,4.0,0.8433333333333334,300
0.4,5.0,0.91,300
0.4,6.0,0.9233333333333333,300
0.4,7.0,0.9266666666666666,300
0.4,8.0,0.9266666666666666,300
0.4,9.0,0.9266666666666666,300
0.4,10.0,0.9266666666666666,300
0.4,11.0,0.9266666666666666,300
0.4,12.0,0.9266666666666666,300
