key,value
shapley.heraklion_1941__ypenburg_1940.lanchester.RISK,0.020566666666666667
shapley.hostomel_2022__heraklion_1941.crt.AIR,0.06454166666666666
shapley.hostomel_2022__heraklion_1941.crt.DENIAL,-0.1514583333333333
shapley.hostomel_2022__heraklion_1941.crt.HOLD,-0.6205416666666667
shapley.hostomel_2022__heraklion_1941.crt.MASS,0.03304166666666668
shapley.hostomel_2022__heraklion_1941.crt.RESPONSE,0.01125
shapley.hostomel_2022__heraklion_1941.crt.RISK,0.3181666666666665
shapley.hostomel_2022__heraklion_1941.lanchester.AIR,0.06755
shapley.hostomel_2022__heraklion_1941.lanchester.DENIAL,-0.13686666666666666
shapley.hostomel_2022__heraklion_1941.lanchester.HOLD,-0.6221333333333332
shapley.hostomel_2022__heraklion_1941.lanchester.MASS,0.03235
shapley.hostomel_2022__heraklion_1941.lanchester.RESPONSE,0.009283333333333326
shapley.hostomel_2022__heraklion_1941.lanchester.RISK,0.33381666666666665
shapley.hostomel_2022__maleme_1941.crt.AIR,0.16754166666666664
shapley.hostomel_2022__maleme_1941.crt.DENIAL,-0.10595833333333331
shapley.hostomel_2022__maleme_1941.crt.HOLD,-0.5764999999999999
shapley.hostomel_2022__maleme_1941.crt.MASS,0.12370833333333334
shapley.hostomel_2022__maleme_1941.crt.RESPONSE,0.033125000000000016
shapley.hostomel_2022__maleme_1941.crt.RISK,0.33558333333333323
shapley.hostomel_2022__maleme_1941.lanchester.AIR,0.1784333333333333
shapley.hostomel_2022__maleme_1941.lanchester.DENIAL,0.05233333333333336
shapley.hostomel_2022__maleme_1941.lanchester.HOLD,-0.4906166666666666
shapley.hostomel_2022__maleme_1941.lanchester.MASS,0.1982833333333333
shapley.hostomel_2022__maleme_1941.lanchester.RESPONSE,0.05574999999999998
shapley.hostomel_2022__maleme_1941.lanchester.RISK,0.4188166666666666
shapley.hostomel_2022__rethymno_1941.crt.AIR,0.06695833333333334
shapley.hostomel_2022__rethymno_1941.crt.DENIAL,-0.14974999999999997
shapley.hostomel_2022__rethymno_1941.crt.HOLD,-0.6175833333333333
shapley.hostomel_2022__rethymno_1941.crt.MASS,0.03229166666666666
shapley.hostomel_2022__rethymno_1941.crt.RESPONSE,0.011458333333333334
shapley.hostomel_2022__rethymno_1941.crt.RISK,0.3216249999999999
shapley.hostomel_2022__rethymno_1941.lanchester.AIR,0.07263333333333334
shapley.hostomel_2022__rethymno_1941.lanchester.DENIAL,-0.1343833333333333
shapley.hostomel_2022__rethymno_1941.lanchester.HOLD,-0.6193
shapley.hostomel_2022__rethymno_1941.lanchester.MASS,0.027783333333333333
shapley.hostomel_2022__rethymno_1941.lanchester.RESPONSE,0.009833333333333322
shapley.hostomel_2022__rethymno_1941.lanchester.RISK,0.33643333333333314
shapley.hostomel_2022__ypenburg_1940.crt.AIR,-0.13445833333333332
shapley.hostomel_2022__ypenburg_1940.crt.DENIAL,0.2062916666666667
shapley.hostomel_2022__ypenburg_1940.crt.HOLD,-0.4133333333333334
shapley.hostomel_2022__ypenburg_1940.crt.MASS,-0.023166666666666662
shapley.hostomel_2022__ypenburg_1940.crt.RESPONSE,-0.008250000000000004
shapley.hostomel_2022__ypenburg_1940.crt.RISK,0.4904166666666665
shapley.hostomel_2022__ypenburg_1940.lanchester.AIR,-0.13008333333333338
shapley.hostomel_2022__ypenburg_1940.lanchester.DENIAL,0.25231666666666663
shapley.hostomel_2022__ypenburg_1940.lanchester.HOLD,-0.39031666666666676
shapley.hostomel_2022__ypenburg_1940.lanchester.MASS,-0.013200000000000002
shapley.hostomel_2022__ypenburg_1940.lanchester.RESPONSE,-0.0063666666666666654
shapley.hostomel_2022__ypenburg_1940.lanchester.RISK,0.54065
shapley.maleme_1941__heraklion_1941.crt.AIR,-0.07733333333333334
shapley.maleme_1941__heraklion_1941.crt.DENIAL,-0.010666666666666665
shapley.maleme_1941__heraklion_1941.crt.HOLD,-0.07191666666666664
shapley.maleme_1941__heraklion_1941.crt.MASS,-0.032125
shapley.maleme_1941__heraklion_1941.crt.RESPONSE,-0.04545833333333333
shapley.maleme_1941__heraklion_1941.crt.RISK,0.0
shapley.maleme_1941__heraklion_1941.lanchester.AIR,-0.12960000000000002
