anchor,metric,op,target,share,lo95,hi95,source
no_airbridge,airbridge,eq,False,0.9825,0.9757596590525046,0.9873903224630005,WPR
germans_do_not_hold_field,attacker_holds_end,eq,False,0.9825,0.9757596590525046,0.9873903224630005,WPR
no_landings,transports_lost,eq,0,0.9815,0.9746050872834985,0.9865487284672078,WPR
ALL (joint),,,,0.9815,0.9746050872834985,0.9865487284672078,
