param,prior_mean,post_mean,post_p10,post_p90,shift_sd
risk.tolerance,0.5492517547245871,0.5853411302042167,0.4928609602341656,0.6776292227613396,0.4164361805609182
air.att.approach_loss,0.10001493830306356,0.09700813262067157,0.05897497305008449,0.13787096828693715,-0.10435355826920784
response.strength,648.5506556538662,656.9386751030722,455.45751917925384,853.7102188300212,0.05795206982036614
response.commit_h,11.012020974679093,11.097724311885496,8.674196447890477,13.453358904400543,0.04981324743495402
hold.base_hazard,0.024871519107769496,0.02447935766031195,0.012687894030293502,0.03689563743518486,-0.04514506781521512
mass.shock,0.49888753160072374,0.5028497892811833,0.3416651753157271,0.6622852362638484,0.034154529969476106
air.att.suppression,0.34981777393553254,0.3471069329863648,0.2305643883240762,0.4669381872423683,-0.03136531967065453
ctx.wave1_t,0.7489615985998268,0.7444211842669616,0.548476293124717,0.9447850082650315,-0.031213253991415685
denial.crater_rate,0.015174189032300233,0.015401295146900784,0.0033915366072012594,0.027024127125296525,0.0263419882394906
hold.strength,502.0815081840046,504.76270433595823,344.4584061441801,662.4620604472883,0.02311468008974521
mass.dz_loss,0.4492011094999683,0.447303096109781,0.3302271465659013,0.5655976026646476,-0.021954365093752554
air.att.ingress_loss,0.06499815484522925,0.0653484418742012,0.037361528087742166,0.09298856942734844,0.017446740919165753
ctx.troops_per_aircraft,13.979549902192964,13.96110428176058,12.424763974102433,15.571724551612812,-0.016082891181416502
denial.fire_intensity,0.45011520038521846,0.4513918663283648,0.3281166861236407,0.5727564758741754,0.014589053937104546
denial.demolish_rate,0.024757664188161707,0.024954439095241938,0.005310872210497105,0.04442606155368492,0.013651937608514025
air.att.interdiction,0.1988895280631018,0.19826098285715124,0.11770691110215897,0.2789233206674483,-0.01086203196507834
mass.shock_decay_h,2.491162740701407,2.49880081765009,1.2795606129803647,3.697448019839976,0.008784577536573256
ctx.wave3_t,3.750260597574937,3.746548034009808,3.1338612780049124,4.353008748123664,-0.008547801518964532
denial.t_fires,6.503418667536457,6.5148256300712,4.500846280907495,8.51128230026721,0.007898067149883479
ctx.wave2_t,2.0049470266214686,2.0072189185611222,1.6059654362371731,2.4005974867551965,0.00786975999451233
air.att.cas,1.199635354247978,1.1992262514726062,1.1193496910066882,1.2793741496567508,-0.007065173735513059
mass.cornered,0.3993417282144319,0.3986763832520062,0.24030998564074585,0.5587916517559477,-0.005782411425693974
response.t_ca,7.012000966909923,7.0054133871522195,5.363162624779662,8.618652525268143,-0.005691481410038973
mass.aircraft,19.530828875086215,19.550726112061014,14.320135522530824,24.658408809666792,0.005290142613072504
hold.quality,0.898900414431534,0.8991873360137977,0.8202359396218448,0.9789411590295455,0.004998644820827722
ctx.wreck_obstacle,0.044828444081529556,0.044795530348324133,0.03301222270137793,0.05653066977103902,-0.0038259952625089213
