factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.31443333333333334,-0.3308341666666666,-0.2991416666666667,0.027
AIR,-0.12960000000000002,-0.13794083333333335,-0.12198166666666668,0.396
RESPONSE,-0.12176666666666666,-0.12921916666666666,-0.11260583333333338,0.419
MASS,-0.06751666666666666,-0.07282166666666666,-0.06216666666666668,0.507
DENIAL,-0.02268333333333333,-0.025269166666666676,-0.019960000000000006,0.628
RISK,0.0,0.0,0.0,0.662
