factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.018449999999999994,-0.024353333333333334,-0.013095833333333338,0.002
MASS,0.00763333333333333,0.005346666666666665,0.010269999999999998,0.033
DENIAL,-0.006949999999999996,-0.00891833333333333,-0.005066666666666666,0.009
AIR,0.0056333333333333305,0.0033991666666666667,0.007667499999999998,0.03
RISK,-0.0028666666666666667,-0.0046525,-0.001281666666666668,0.015
RESPONSE,0.0,0.0,0.0,0.018
COMMAND,0.0,0.0,0.0,0.018
