factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.3181833333333332,-0.3306008333333333,-0.30809499999999995,0.048
MASS,-0.14926666666666674,-0.15632000000000013,-0.14241249999999997,0.347
RESPONSE,-0.10426666666666665,-0.10986833333333333,-0.09741500000000003,0.443
AIR,-0.09334999999999997,-0.09810333333333326,-0.08856416666666662,0.476
COMMAND,0.013066666666666664,-0.0006883333333333429,0.02634,0.645
DENIAL,0.0,0.0,0.0,0.662
RISK,0.0,0.0,0.0,0.662
