factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.4445833333333332,-0.4559091666666666,-0.4326074999999999,0.021
RISK,0.43229999999999996,0.42159250000000004,0.44411249999999997,0.899
MASS,0.20355,0.19638,0.21138749999999998,0.459
AIR,0.1936166666666666,0.1861608333333333,0.20080333333333336,0.626
RESPONSE,0.0464,0.04079916666666667,0.05249999999999998,0.346
DENIAL,-0.011283333333333354,-0.02186750000000002,-0.000697500000000006,0.0
