param,prior_mean,post_mean,post_p10,post_p90,shift_sd
denial.t_fires,5.502051200521874,5.269876274265511,4.231358415732487,6.544603263139418,-0.2679260075453815
risk.tolerance,0.05487529245409786,0.05127856203089366,0.033663965285913686,0.07251543807123657,-0.2490165584813465
air.att.approach_loss,0.04000597532122543,0.04239480173185566,0.025845223047649322,0.05709435964066475,0.20726525286996114
denial.obstacles0,0.6507216013106386,0.6625761894745527,0.535529446247405,0.7759877244871004,0.13590667052828972
ctx.wave1_t,4.744807992999134,4.801640269173641,3.754098970502474,5.788663515843554,0.07813913625921085
hold.ammo_out_h,2.247706124620027,2.273259201124812,1.6689205939893834,2.859748431795894,0.059128922260182036
hold.strength,185.36426393220077,185.99077837545525,157.649137131023,213.22069367436296,0.030864009103612755
response.t_ca,6.757500604318702,6.7364750422880375,5.707764320120516,7.751572483969742,-0.029064779438780962
response.strength,648.5506556538662,651.9042061057772,449.1736657159315,851.6798772110726,0.023169377600055992
response.commit_h,11.012020974679093,11.043953896100835,8.671524639794958,13.407917497142778,0.018560333447357465
mass.dz_loss,0.06481359221665928,0.0651710048118456,0.03715068553045275,0.0927645809738,0.017717999200924657
hold.base_hazard,0.014871519107769496,0.01473973553090442,0.0028696332794012173,0.02697919724249158,-0.015170737850638825
ctx.wave2_t,26.019788106485873,26.035796211365618,24.409505877730517,27.63131564577376,0.013862889027832033
air.att.ingress_loss,0.06499815484522925,0.06523309821268253,0.03724891715733289,0.09313344666300773,0.011701820860063519
denial.crater_rate,0.09034837806460044,0.09015466163907139,0.06600325282604777,0.11378227138602852,-0.011234562777091553
hold.quality,0.5989004144315341,0.5994754179927713,0.520542146004878,0.6800218620331682,0.01001750565662855
denial.fire_intensity,0.8001536005136246,0.7990850372401221,0.6368757169444481,0.9613400617092793,-0.009158226149150161
air.att.suppression,0.09987851595702167,0.09955467950699728,0.019609688394106886,0.17945813354111073,-0.005620341049044155
ctx.t_relief,23.972589234595457,23.97003449293452,20.790771311971074,27.21516570446765,-0.001099576999194161
air.att.cas,1.049817677123989,1.04984668080874,1.010893875976222,1.090478977100333,0.0010017828480857274
air.att.interdiction,0.07416714604732637,0.07419716192246993,0.01440674029435338,0.13357944191497712,0.0006916148426187021
denial.demolish_rate,0.4485459851289702,0.448518766299436,0.32863369576511914,0.5698274863147921,-0.00031473335708938517
