factor,shapley,lo90,hi90,single_swap_p
HOLD,0.1924166666666667,0.1861125,0.19887666666666665,0.763
RISK,-0.06983333333333333,-0.07283499999999998,-0.06720000000000001,0.0
DENIAL,-0.06949999999999999,-0.07215249999999998,-0.06696583333333334,0.0
MASS,-0.03436666666666666,-0.03643416666666666,-0.03214666666666667,0.002
RESPONSE,-0.025183333333333332,-0.02706666666666667,-0.023382500000000004,0.007
AIR,-0.004533333333333332,-0.0051508333333333345,-0.0039658333333333325,0.01
COMMAND,0.0,0.0,0.0,0.011
