factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.6221333333333332,-0.6303941666666665,-0.6134466666666665,0.002
RISK,0.33381666666666665,0.3263166666666667,0.34105166666666686,0.899
DENIAL,-0.1368666666666666,-0.1441225,-0.12944916666666667,0.0
AIR,0.06755,0.06167749999999999,0.07317083333333332,0.601
MASS,0.032350000000000004,0.028279166666666657,0.03649333333333329,0.435
RESPONSE,0.009283333333333324,0.006982499999999994,0.011700833333333324,0.346
COMMAND,0.0,0.0,0.0,0.329
