param,prior_mean,post_mean,post_p10,post_p90,shift_sd
mass.aircraft,110.09485807718833,110.01344743911675,93.89740537885828,125.97134284000836,-0.007034595456834322
air.att.cas,1.099635354247978,1.0993738851295647,1.0205091583151993,1.1796904184964758,-0.0045155517372917975
hold.base_hazard,0.004957173035923166,0.004944357116475945,0.0009793341622117051,0.008996653010666555,-0.004426051232038214
hold.strength,1303.122262276007,1303.7550084363213,1061.321120811558,1544.004822039361,0.003636616953723904
denial.t_fires,0.5006837335072912,0.5000961685813698,0.1034703057175318,0.9016396347795885,-0.0020341204881269854
risk.commit_cycle_h,8.932646670199798,8.936014635584097,6.573873538445772,11.382380662449625,0.0019527752390802395
ctx.exploit_delay,5.525619428833129,5.52842667393244,3.528620429506765,7.514898240755099,0.0019497743864125164
risk.tolerance,0.3246258773622936,0.3245451802852582,0.2649417406161312,0.38507356357654776,-0.001862331065386203
response.strength,598.8405245230931,599.0511859137292,438.5456426617834,759.8481146808331,0.0018193006842269833
hold.quality,1.098900414431534,1.0990021988155583,1.0204487767837156,1.1793676043781018,0.0017732510047869898
response.commit_h,11.012020974679093,11.013985762543356,8.616692253623542,13.387889475629056,0.0011419912833038278
mass.dz_loss,0.5243342579166402,0.5244154663256028,0.4247427943253651,0.6234582670049891,0.0011272074696186656
response.t_ca,15.515001208637404,15.513393161914477,13.479604304022006,17.51491722296295,-0.0011114452793452422
air.att.ingress_loss,0.03999894562584528,0.040011174627169584,0.024142238375618793,0.055885939464647254,0.0010659069570889506
air.att.approach_loss,0.010001493830306357,0.010004346736360704,0.006052406973374201,0.013997817158537703,0.000990123505227859
denial.demolish_rate,0.09951532837632343,0.09949909126048481,0.05975974136937068,0.1394393533263535,-0.0005632529463745544
risk.commit_lag_h,3.988615491040088,3.9879940460394985,2.386203893619878,5.592204622063242,-0.0005364265017022349
air.att.suppression,0.19987851595702166,0.1998482168861884,0.12027136177158737,0.27949907573202004,-0.0005258552937425201
denial.crater_rate,0.01011612602153349,0.010119081412124737,0.002126077074328975,0.017958761236974798,0.0005141926561599125
denial.fire_intensity,0.45011520038521846,0.4500892037788244,0.32805329032880093,0.5714123770433291,-0.00029707528026487717
ctx.aircraft,32.50387478119226,32.50278409919848,26.467453252096263,38.48112932500504,-0.00025211274204798174
air.att.interdiction,0.1988895280631018,0.19887817837765454,0.11854529188413941,0.27897265431383506,-0.00019613648303220445
