anchor,metric,op,target,share,lo95,hi95,source
germans_never_take_field,attacker_ever_controls,eq,False,0.9895,0.984000976488557,0.993122165380541,WPH
no_airbridge,airbridge,eq,False,0.992,0.9870438100676844,0.9950697462134108,WPH
no_landings,transports_lost,eq,0,0.9915,0.9864291960388387,0.9946862773598573,WPH
ALL (joint),,,,0.9895,0.984000976488557,0.993122165380541,
