param,prior_mean,post_mean,post_p10,post_p90,shift_sd
ctx.exploit_delay,5.525619428833129,6.277753600019122,4.5221101304490965,7.741681686522538,0.5223954055468234
risk.commit_cycle_h,8.932646670199798,9.49663317334616,7.175927782523428,11.786312777205495,0.3270042155580908
risk.commit_lag_h,3.988615491040088,4.2535637210219,2.550488567874043,5.708312577750561,0.22870125595431565
mass.dz_loss,0.49946740633331216,0.4940111723092938,0.4179685122374578,0.5744990065321219,-0.09466857906763686
hold.quality,0.9989004144315341,0.994954815754409,0.9176808805128567,1.0771386134707395,-0.06873880395078566
ctx.aircraft,32.50387478119226,32.252954845371896,26.24598511186927,38.31828418816936,-0.05800051107007334
air.att.interdiction,0.4483342920946527,0.4433234152697451,0.32590384677607664,0.5627851917419275,-0.05772939769479552
hold.strength,575.7805655690017,573.51834472135,514.9359360091685,635.4803399964503,-0.052007147280361744
denial.fire_intensity,0.45011520038521846,0.44583462070968677,0.326484793798727,0.5695192125508424,-0.04891616957721767
air.att.suppression,0.5498177739355325,0.5539728786208076,0.4324008026583302,0.6741335682153142,0.04807592520641883
hold.decision_h,3.9848870457233843,4.039755530099279,2.41361308065137,5.631971638364732,0.047473248107682595
air.att.approach_loss,0.010001493830306357,0.009906161512435197,0.005885773209226828,0.013852811342934934,-0.03308583140628043
response.strength,1098.840524523093,1095.1692821094782,934.2951530858352,1256.8123093158226,-0.0317053533867042
response.t_ca,42.02400193381985,42.08498516142414,38.8632847515004,45.20269948074887,0.02634388644996185
air.att.ingress_loss,0.02499920921938396,0.024838488887946104,0.013254035071428059,0.03700971043693113,-0.01867832211665346
hold.comms_loss,0.5984958912375314,0.60036102718091,0.43749314028042535,0.7641511455414767,0.016165636778524478
denial.demolish_rate,0.09951532837632343,0.09991122524983348,0.05971274737004369,0.13908758713915997,0.013733355275734634
mass.t_reserve,30.517102105068616,30.505752113580304,29.309342702202215,31.720595339858743,-0.01299437850739137
air.att.cas,1.299635354247978,1.300285572797694,1.2216485826559276,1.3804022518920926,0.011229224772728658
hold.fog,0.4506284988556998,0.44978513123958413,0.33295206640827174,0.5659703662513187,-0.009804786531808623
mass.reserve_dz,0.19978102259905628,0.20031495597078583,0.12298765675360995,0.2814111607883827,0.009150966227694516
denial.crater_rate,0.01011612602153349,0.010165954799998177,0.002150587302439173,0.017984789801606046,0.008669443567912945
denial.t_fires,0.5006837335072912,0.5029229794508988,0.09824534468652713,0.8969037015369777,0.007752157848266288
response.commit_h,11.012020974679093,11.002781229044782,8.590888560283862,13.348294268549134,-0.005370406223616296
hold.base_hazard,0.017392932589807914,0.017417123150829675,0.007232960160840935,0.027642189666236144,0.0033417395561822845
risk.tolerance,0.3246258773622936,0.32467566241645623,0.2646417293938484,0.3860302317619476,0.0011489418993250106
