factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.46607142857142847,-0.4791059523809522,-0.4550607142857144,0.022
RISK,0.42102857142857153,0.4059864285714286,0.4348892857142857,0.908
AIR,0.22472857142857142,0.21490880952380945,0.23450142857142858,0.726
MASS,0.21036190476190475,0.20153261904761902,0.21975738095238095,0.48
RESPONSE,0.05856190476190476,0.052281904761904766,0.06469785714285715,0.334
COMMAND,-0.05003809523809523,-0.06385571428571431,-0.03771761904761905,0.232
DENIAL,0.045428571428571415,0.033499761904761866,0.05540238095238093,0.0
