factor,shapley,lo90,hi90,single_swap_p
HOLD,0.09112500000000007,0.07882291666666666,0.10435000000000001,0.1575
MASS,-0.08183333333333334,-0.09346249999999998,-0.06995833333333332,0.005
RESPONSE,-0.060875,-0.07337708333333333,-0.049577083333333355,0.0075
RISK,0.016791666666666667,0.013456249999999998,0.020379166666666667,0.02
DENIAL,0.014249999999999999,0.011375000000000003,0.017375,0.02
AIR,0.005541666666666667,0.0037479166666666663,0.007502083333333333,0.02
COMMAND,0.0,0.0,0.0,0.0175
