factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.4589904761904761,-0.4729723809523809,-0.44666666666666666,0.022
RISK,0.42727619047619064,0.41191404761904765,0.44211690476190474,0.896
MASS,0.19847619047619047,0.18986047619047616,0.20713619047619047,0.45
AIR,0.19197619047619047,0.18212095238095236,0.20104119047619046,0.62
DENIAL,0.05550952380952376,0.04268404761904761,0.06774190476190474,0.0
RESPONSE,0.05254285714285714,0.04625571428571429,0.058323095238095236,0.332
COMMAND,-0.044790476190476186,-0.05669738095238095,-0.032407380952380944,0.268
