factor,shapley,lo90,hi90,single_swap_p
DENIAL,-0.28104523809523807,-0.28557571428571443,-0.27571690476190475,0.0
RISK,-0.18801190476190466,-0.1939297619047619,-0.18190619047619053,0.194
HOLD,0.17993809523809526,0.17579726190476191,0.18484642857142858,0.998
MASS,-0.16921190476190479,-0.1740759523809524,-0.16448642857142848,0.015
RESPONSE,-0.11081190476190476,-0.1152975,-0.10640940476190476,0.283
AIR,-0.09736190476190475,-0.10149952380952382,-0.0931380952380952,0.39
COMMAND,0.008504761904761899,0.0020966666666666603,0.014746309523809521,0.645
