factor,shapley,lo90,hi90,single_swap_p
HOLD,-0.45943333333333347,-0.46872440476190474,-0.45058928571428564,0.021
RISK,0.431,0.42076916666666664,0.4413907142857143,0.899
MASS,0.19718333333333332,0.19186130952380953,0.20326059523809523,0.459
AIR,0.18563333333333337,0.17866499999999996,0.1922984523809524,0.626
RESPONSE,0.05431666666666665,0.04993285714285713,0.05851797619047618,0.346
DENIAL,0.04798333333333336,0.039309999999999984,0.057328809523809504,0.0
COMMAND,-0.04368333333333333,-0.052423333333333336,-0.03534869047619047,0.277
