factor,shapley,lo90,hi90,single_swap_p
MASS,-0.1245,-0.13833541666666666,-0.11240416666666665,0.0075
HOLD,0.11954166666666673,0.10715208333333336,0.13339166666666674,0.16
RESPONSE,-0.06637499999999999,-0.07846875000000002,-0.05553124999999998,0.005
DENIAL,0.033125,0.028958333333333326,0.038124999999999985,0.0175
RISK,0.016416666666666666,0.013583333333333336,0.01941666666666666,0.0125
AIR,0.011791666666666669,0.009704166666666665,0.014166666666666666,0.015
COMMAND,0.0,0.0,0.0,0.0125
