factor,shapley,lo90,hi90,single_swap_p
DENIAL,-0.28009999999999996,-0.28887499999999994,-0.270665,0.0
HOLD,0.18513333333333334,0.17675333333333335,0.1927416666666667,0.998
RISK,-0.18243333333333334,-0.19243500000000002,-0.17274,0.202
MASS,-0.17226666666666668,-0.1804366666666667,-0.164715,0.012
RESPONSE,-0.1101,-0.11819166666666665,-0.10219833333333336,0.314
AIR,-0.10023333333333333,-0.10708666666666669,-0.09282499999999999,0.384
