factor,shapley,lo90,hi90,single_swap_p
RISK,0.4904166666666665,0.4710583333333333,0.5061749999999999,0.93
HOLD,-0.4133333333333334,-0.4336541666666667,-0.3941583333333332,0.035
DENIAL,0.2062916666666667,0.18978333333333336,0.22238749999999993,0.5975
AIR,-0.13445833333333332,-0.14837499999999995,-0.12236458333333333,0.0275
MASS,-0.023166666666666662,-0.031083333333333327,-0.015458333333333334,0.29
RESPONSE,-0.008250000000000004,-0.013462499999999994,-0.004483333333333349,0.3475
