hold.strength,p,n
500.0,0.728,1000
650.0,0.575,1000
800.0,0.385,1000
1000.0,0.211,1000
1250.0,0.093,1000
1500.0,0.044,1000
2000.0,0.009,1000
2500.0,0.003,1000
3000.0,0.0,1000
